------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version,2.4
EnvLogger Viewer version,3.9
downloading device type, android
device, SM-G930F
downloading mode, manual
------------------------------,--------------------
serial number, 0445 8800 1115 09
custom name, A3
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution,0.1
samples,2844
time diff [logger-smartphone](sec),113
lat,48.83467
long,-125.135659
accuracy (m),24
------------------------------,--------------------
time,temp
2021-03-28 23:48,9
2021-03-29 0:18,9
2021-03-29 0:48,9
2021-03-29 1:18,8.9
2021-03-29 1:48,9.1
2021-03-29 2:18,8.9
2021-03-29 2:48,8.9
2021-03-29 3:18,8.9
2021-03-29 3:48,8.9
2021-03-29 4:18,8.8
2021-03-29 4:48,8.8
2021-03-29 5:18,8.8
2021-03-29 5:48,8.8
2021-03-29 6:18,8.8
2021-03-29 6:48,8.8
2021-03-29 7:18,8.8
2021-03-29 7:48,8.8
2021-03-29 8:18,8.8
2021-03-29 8:48,8.7
2021-03-29 9:18,8.7
2021-03-29 9:48,8.8
2021-03-29 10:18,8.8
2021-03-29 10:48,8.8
2021-03-29 11:18,8.8
2021-03-29 11:48,8.8
2021-03-29 12:18,8.8
2021-03-29 12:48,8.8
2021-03-29 13:18,8.8
2021-03-29 13:48,8.7
2021-03-29 14:18,8.8
2021-03-29 14:48,8.8
2021-03-29 15:18,8.8
2021-03-29 15:48,8.8
2021-03-29 16:18,8.7
2021-03-29 16:48,8.8
2021-03-29 17:18,8.8
2021-03-29 17:48,8.7
2021-03-29 18:18,8.8
2021-03-29 18:48,8.8
2021-03-29 19:18,8.7
2021-03-29 19:48,8.7
2021-03-29 20:18,8.7
2021-03-29 20:48,8.7
2021-03-29 21:18,8.8
2021-03-29 21:48,8.8
2021-03-29 22:18,8.8
2021-03-29 22:48,8.8
2021-03-29 23:18,9
2021-03-29 23:48,9
2021-03-30 0:18,9.2
2021-03-30 0:48,9.5
2021-03-30 1:18,9.3
2021-03-30 1:48,9.5
2021-03-30 2:18,9.5
2021-03-30 2:48,9.6
2021-03-30 3:18,9.4
2021-03-30 3:48,9.3
2021-03-30 4:18,9.2
2021-03-30 4:48,9.2
2021-03-30 5:18,8.9
2021-03-30 5:48,9.2
2021-03-30 6:18,9.1
2021-03-30 6:48,9.3
2021-03-30 7:18,9.2
2021-03-30 7:48,8.9
2021-03-30 8:18,9
2021-03-30 8:48,9
2021-03-30 9:18,9
2021-03-30 9:48,9
2021-03-30 10:18,9
2021-03-30 10:48,9
2021-03-30 11:18,9.1
2021-03-30 11:48,9.2
2021-03-30 12:18,9.1
2021-03-30 12:48,9.2
2021-03-30 13:18,9.1
2021-03-30 13:48,9.1
2021-03-30 14:18,9.1
2021-03-30 14:48,9
2021-03-30 15:18,9
2021-03-30 15:48,8.9
2021-03-30 16:18,8.8
2021-03-30 16:48,8.8
2021-03-30 17:18,8.7
2021-03-30 17:48,8.8
2021-03-30 18:18,8.9
2021-03-30 18:48,8.8
2021-03-30 19:18,8.8
2021-03-30 19:48,8.8
2021-03-30 20:18,8.8
2021-03-30 20:48,8.8
2021-03-30 21:18,8.9
2021-03-30 21:48,8.9
2021-03-30 22:18,8.9
2021-03-30 22:48,8.9
2021-03-30 23:18,8.9
2021-03-30 23:48,8.9
2021-03-31 0:18,8.9
2021-03-31 0:48,9.1
2021-03-31 1:18,9.1
2021-03-31 1:48,8.9
2021-03-31 2:18,8.9
2021-03-31 2:48,8.9
2021-03-31 3:18,8.9
2021-03-31 3:48,8.8
2021-03-31 4:18,9
2021-03-31 4:48,8.9
2021-03-31 5:18,8.9
2021-03-31 5:48,8.9
2021-03-31 6:18,8.9
2021-03-31 6:48,8.9
2021-03-31 7:18,8.7
2021-03-31 7:48,8.9
2021-03-31 8:18,8.9
2021-03-31 8:48,8.8
2021-03-31 9:18,8.9
2021-03-31 9:48,8.9
2021-03-31 10:18,8.8
2021-03-31 10:48,8.9
2021-03-31 11:18,8.8
2021-03-31 11:48,8.8
2021-03-31 12:18,8.8
2021-03-31 12:48,8.8
2021-03-31 13:18,8.9
2021-03-31 13:48,9
2021-03-31 14:18,8.9
2021-03-31 14:48,9
2021-03-31 15:18,8.8
2021-03-31 15:48,8.9
2021-03-31 16:18,8.9
2021-03-31 16:48,8.9
2021-03-31 17:18,8.7
2021-03-31 17:48,8.7
2021-03-31 18:18,8.8
2021-03-31 18:48,8.7
2021-03-31 19:18,8.7
2021-03-31 19:48,8.7
2021-03-31 20:18,8.7
2021-03-31 20:48,8.8
2021-03-31 21:18,8.9
2021-03-31 21:48,8.8
2021-03-31 22:18,8.8
2021-03-31 22:48,8.8
2021-03-31 23:18,8.8
2021-03-31 23:48,8.9
2021-04-01 0:18,9
2021-04-01 0:48,8.9
2021-04-01 1:18,8.8
2021-04-01 1:48,8.8
2021-04-01 2:18,9
2021-04-01 2:48,8.9
2021-04-01 3:18,8.9
2021-04-01 3:48,8.8
2021-04-01 4:18,8.8
2021-04-01 4:48,8.8
2021-04-01 5:18,8.8
2021-04-01 5:48,8.8
2021-04-01 6:18,8.9
2021-04-01 6:48,8.9
2021-04-01 7:18,8.9
2021-04-01 7:48,8.8
2021-04-01 8:18,8.9
2021-04-01 8:48,8.9
2021-04-01 9:18,9
2021-04-01 9:48,8.9
2021-04-01 10:18,8.8
2021-04-01 10:48,8.9
2021-04-01 11:18,9.1
2021-04-01 11:48,9
2021-04-01 12:18,8.9
2021-04-01 12:48,8.9
2021-04-01 13:18,9.1
2021-04-01 13:48,9.1
2021-04-01 14:18,9.1
2021-04-01 14:48,9.1
2021-04-01 15:18,8.9
2021-04-01 15:48,8.9
2021-04-01 16:18,8.9
2021-04-01 16:48,8.9
2021-04-01 17:18,8.9
2021-04-01 17:48,8.9
2021-04-01 18:18,8.9
2021-04-01 18:48,8.9
2021-04-01 19:18,8.9
2021-04-01 19:48,8.9
2021-04-01 20:18,8.9
2021-04-01 20:48,8.9
2021-04-01 21:18,9
2021-04-01 21:48,9.1
2021-04-01 22:18,9.1
2021-04-01 22:48,9.1
2021-04-01 23:18,9
2021-04-01 23:48,8.9
2021-04-02 0:18,9
2021-04-02 0:48,8.9
2021-04-02 1:18,9
2021-04-02 1:48,9
2021-04-02 2:18,9
2021-04-02 2:48,9
2021-04-02 3:18,9
2021-04-02 3:48,9
2021-04-02 4:18,9
2021-04-02 4:48,9.1
2021-04-02 5:18,9.1
2021-04-02 5:48,9.1
2021-04-02 6:18,9
2021-04-02 6:48,9.1
2021-04-02 7:18,9.2
2021-04-02 7:48,9.2
2021-04-02 8:18,9
2021-04-02 8:48,9.2
2021-04-02 9:18,9.2
2021-04-02 9:48,9.2
2021-04-02 10:18,9.2
2021-04-02 10:48,9.1
2021-04-02 11:18,9.1
2021-04-02 11:48,9.2
2021-04-02 12:18,9.1
2021-04-02 12:48,9.1
2021-04-02 13:18,9.1
2021-04-02 13:48,9.1
2021-04-02 14:18,9.1
2021-04-02 14:48,9.1
2021-04-02 15:18,9.1
2021-04-02 15:48,9
2021-04-02 16:18,9
2021-04-02 16:48,8.9
2021-04-02 17:18,8.9
2021-04-02 17:48,8.9
2021-04-02 18:18,9
2021-04-02 18:48,8.8
2021-04-02 19:18,8.8
2021-04-02 19:48,8.8
2021-04-02 20:18,8.8
2021-04-02 20:48,8.8
2021-04-02 21:18,8.8
2021-04-02 21:48,8.8
2021-04-02 22:18,8.8
2021-04-02 22:48,8.8
2021-04-02 23:18,9.1
2021-04-02 23:48,8.9
2021-04-03 0:18,8.8
2021-04-03 0:48,8.9
2021-04-03 1:18,9
2021-04-03 1:48,9.1
2021-04-03 2:18,9.1
2021-04-03 2:48,9
2021-04-03 3:18,9
2021-04-03 3:48,9
2021-04-03 4:18,8.9
2021-04-03 4:48,9
2021-04-03 5:18,8.9
2021-04-03 5:48,8.9
